
============================================================
FINE SINCRONIZZAZIONE
Record aggiornati: 3009
Record non trovati: 287
Anomalie X/XX: 468
Anomalie PRODUZIONE_SENZA_ORE: 255
Totale anomalie generate: 723
============================================================

=== RIEPILOGO CODICI NON TROVATI ===
  Codice: QI9, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: WZ3, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: A82, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: A84, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: QI9, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A82, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: A84, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: A81, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: QI5, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: WZ9, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: QX0, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A80, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: QX0, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: WZ3, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: QI9, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: PRE, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: Q70, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: WB1, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: QI7, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A84, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: A81, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: A82, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: WB3, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: QI9, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: WZ3, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: WB3, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: QI8, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: QI5, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: QI8, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: QI9, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A61, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: QI8, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: QI8, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A84, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: A80, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: A82, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: WB1, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: QI9, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: QI5, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: QK9, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A82, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: QI7, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A81, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: A84, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: A82, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: QX0, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: WB3, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: QI5, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: QI8, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A61, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: A81, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: A79, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: A80, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: JSG, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: QI7, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: WB2, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: JSG, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: A82, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: QI8, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: JSG, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: A80, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: A81, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: QI6, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: Q93, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: WB1, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: QI7, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A80, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: WZ9, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: WB2, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: A80, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: JSG, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: WZ9, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: WZ3, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: WZ9, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: WB1, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: WZ3, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: QI7, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: WB3, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: QI6, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: WZ3, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: A75, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: QI8, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A92, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: A74, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: WZ4, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: A82, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: WB2, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: A82, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: Q70, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: QI9, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A74, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: A79, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: QI6, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A92, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: QI5, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: QI5, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A82, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: QI6, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: Q70, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: QI5, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: WB3, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: QI5, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A74, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: QI6, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: WZ3, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: QI8, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: Q93, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: QI8, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A75, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: WB2, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: QI8, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: QI5, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A81, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: QI8, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: QI9, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A81, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: QI6, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A81, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: QI6, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A92, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: WZ4, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: A81, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: QI5, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: WB3, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: QI5, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: WB3, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: WZ9, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: QI8, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A81, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: A75, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: QI8, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: QI7, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: WB1, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: WZ3, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: QI9, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: QI7, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: Q79, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: QI5, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: QI8, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: QI7, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: QI7, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A81, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: A81, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: QI8, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A77, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: A92, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: A61, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: QX0, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: QI9, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: QI8, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: A81, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: A92, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
  Codice: WB1, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: QI7, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: QI9, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: WZ4, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: DS8, Tipo: DOPPIA SPUNTA, Motivo: Codice non trovato in TIM
  Codice: QI5, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: Q70, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: WZ9, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: QX0, Tipo: PICKING, Motivo: Codice non trovato in TIM
  Codice: WB2, Tipo: MAG. RICEVIMENTO, Motivo: Codice non trovato in TIM
  Codice: A74, Tipo: CARRELLISTI, Motivo: Codice non trovato in TIM
